path,disposition,reason,bytes,sha256,referenceCount,currentReferenceCount,containsMutationTerms
tools/e2e/Extract-Phase05CurrentWeekCommitReceipt.mjs,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,1824,21da057ed512a4e1bb7ba6932ce9505892cf5c446cad2a509e4ffbbfe5d9d5ba,0,0,True
tools/e2e/Phase05WeeklyMenuFixtureTool/Phase05WeeklyMenuFixtureTool.csproj,KEEP_FIXTURE_BUILDER,reproduces the two hash-indexed Phase 05 workbooks,376,039987e50c47cee9b1305c8454401d64ca37f39b6a6a99e0289128f06818fc9a,0,0,False
tools/e2e/Phase05WeeklyMenuFixtureTool/Program.cs,KEEP_FIXTURE_BUILDER,reproduces the two hash-indexed Phase 05 workbooks,5500,4cc28687206d68cf8c2111223ce64b959f5af786c8e70e7149e760f21279cc77,21,21,True
tools/e2e/Probe-Phase05StickyMenuHeader.mjs,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,6515,3f5ae5d5cc740eec388177efcb4cc00ccf8fd079e384153577762109ccc5876e,0,0,True
tools/e2e/Read-Phase05CurrentWeekMenuImport.mjs,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,5102,b4baa3ccbed05347e1093288ca17ad49b81e249d611a4d6eb5a25392b42ffedb,0,0,True
tools/e2e/Run-Phase05CanonicalMenuImport.mjs,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,10489,c12ff200d5ce1d5328038450f84c3bf0db540b66d9adb85ec0849d5cef7005df,0,0,True
tools/e2e/Run-Phase05CanonicalMenuReadback.mjs,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,6648,d118b997257b3249f0d6d1220e34e9c97d09e60e2cded033d264fe576f2ed41b,0,0,True
tools/e2e/Run-Phase05CanonicalMenuUiGate.mjs,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,11925,d5fd5b106529de314e22bb0e5dfacc51256345ae0bbb08122a0b929ec3c2ad50,0,0,True
tools/e2e/Run-Phase05CurrentWeekMenuImport.mjs,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,7338,6ac260201510206b1808ff62456cfad475b668be60a6c0d3b359313db1f44c29,0,0,True
tools/e2e/Run-Phase05Exceptions.ps1,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,3832,77cfb8dce7f7fdb5ad3f9774dc46cbcea0c9654860459bc87194c35eb0cf5556,0,0,False
tools/e2e/Run-Phase05GoldenPath.ps1,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,3287,1ce7372e30a0eaffc772b8af58b80b38908ae62b3766e0b1c4038674d1f0022b,0,0,False
tools/e2e/Run-Phase05Task0UiCorrections.mjs,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,6828,2a2507bba54f409c96b8f6f53395c4938bab8d0c2bd3ef1cf40b58ad78324180,0,0,True
tools/e2e/Run-Phase05WeekStartNormalizationGate.mjs,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,5687,f478ff31df62ead9014d6bc306b4dbae89cb9c623a2d233af8ea8768604f008f,0,0,True
tools/e2e/Start-BaselineRuntime.ps1,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,4096,6b562afaff825a42371d536ca28d5e120e47cc191620490f8f9498372e07072f,1,0,False
tools/e2e/Start-GoldenDemoRuntime.ps1,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,4059,4f1a9ae34b83129baa5eb9a8b606a32a6725fbce56ee5fb7337d203c68cfcebb,0,0,False
tools/e2e/Test-Phase05GoldenDemoScope.ps1,KEEP_ACTIVE,current DEFAULT campaign or current golden-demo runbook consumer,4546,48c49bb1f98b92c62bb3d137191bd51b471c967345520d5378cab1bf4527d6f9,2,1,False
tools/e2e/Test-Phase05HeadedControl.ps1,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,7668,8405fb063ecbe3a6a16d5d2ac0b0bae17f7d9a083a4ce7d35fc8a6e6289188b6,0,0,True
tools/e2e/default-campaign-wave0.mjs,KEEP_ACTIVE,current DEFAULT campaign or current golden-demo runbook consumer,4862,d86e905fce816c3fbe868cf0d3ad64a4318c9e33f83af75fea6e52b0c81cc530,0,0,False
tools/e2e/default-campaign-weekly-menu-happy.mjs,KEEP_ACTIVE,current DEFAULT campaign or current golden-demo runbook consumer,7930,fbb07abf97a2a6cb2d002b1fcbee5a2ad3fed8dfb70ec18a6b57325b0219585b,0,0,True
tools/e2e/default-campaign-weekly-menu-readback.mjs,KEEP_ACTIVE,current DEFAULT campaign or current golden-demo runbook consumer,5321,a38e4daf24e64bdc30008dd608678b3a225aa8b7ec7c4fa673da45c275f70ada,0,0,False
tools/e2e/default-campaign-weekly-menu-worst.mjs,KEEP_ACTIVE,current DEFAULT campaign or current golden-demo runbook consumer,7400,ecf39a578db8d0fa7e2986f71118b06c3e9126dab7928be8cbae857edcc0c04d,0,0,True
tools/e2e/fixtures/phase05/weekly-menu-golden-ANV.xlsx,KEEP_EVIDENCE,hash-indexed fixture or Phase 28 evidence recovery owner; defer to W7.5,8876,2cc485bd146f1f4892da9830f3f428ad0435387563282177fa94b3b03ea2965e,6,6,False
tools/e2e/fixtures/phase05/weekly-menu-golden-DAV.xlsx,KEEP_EVIDENCE,hash-indexed fixture or Phase 28 evidence recovery owner; defer to W7.5,8873,2bd34f7d471df23e63efd9da22d2904bc61e68c5e78eb4a18efdee940fcb7aac,4,4,False
tools/e2e/phase05-aggregate-golden-viewports.mjs,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,1603,f38f92b033c66184b5532cbdaaa8b1ab640b98bd44e5eadcf9c26e2b52e43e10,0,0,False
tools/e2e/phase05-amendment-ui-probe.mjs,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,2145,d375064f866dc04756428805068cd76fb70de9451091e3aa5d709d369c9670d7,0,0,False
tools/e2e/phase05-build-golden-manifest.mjs,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,10653,c0aa51f144d6cb69ab54e56ee8a24d51aab9d0ad6fe7cb7709bc55c51c0e629f,0,0,True
tools/e2e/phase05-build-quality-isolation-manifest.mjs,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,4015,16c51b8b8b99f4248962526279a65655686d6230ec0279ecb33baaec5e6fb33d,0,0,False
tools/e2e/phase05-chef-checklist-visual-probe.mjs,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,5108,1b1eb3443354d222fac7d3f8289dae5f7334e762fa0955133c341f5f55d76d47,0,0,False
tools/e2e/phase05-cls-attribution.mjs,DELETE_CANDIDATE,zero active consumer; hard-coded Phase 05 campaign executor/probe; no indexed path ownership,1818,65e43d3c7e7060f7fe919f009c6c1e742fadc007976d32f0a39d18312a2684f4,0,0,False
